char1Label,char1Type,relationLabel,char2Label,char2Type
Athis,demigod of Greek mythology,mother,Limnaee,naiad
Athena,goddess,mother,Coryphe,Okeanid
Triton,Greek water deities,mother,Amphitrite,Okeanid
Athena,goddess,mother,Metis,Okeanid
Calypso,Okeanid,mother,Pleione,Okeanid
Taygete,Pleiades,mother,Pleione,Okeanid
Maia,Pleiades,mother,Pleione,Okeanid
Rhodos,Okeanid,mother,Amphitrite,Okeanid
Adrasteia,Greek nymph,mother,Amalthea,Okeanid
Benthesikyme,Greek water deities,mother,Amphitrite,Okeanid
Cymopoleia,Greek nymph,mother,Amphitrite,Okeanid
Porus,daemon,mother,Metis,Okeanid
Celaeno,Greek nymph,mother,Pleione,Okeanid
Merope,Pleiades,mother,Pleione,Okeanid
Sterope,Pleiades,mother,Pleione,Okeanid
Alcyone,Greek nymph,mother,Pleione,Okeanid
Electra,Pleiades,mother,Pleione,Okeanid
Beroe,Okeanid,mother,Doris,Okeanid
Scamander,Potamoi,mother,Doris,Okeanid
Thaleia,Greek nymph,mother,Doris,Okeanid
Neaera,deity,mother,Doris,Okeanid
Nerites,Greek water deities,mother,Doris,Okeanid
Ephyra,Okeanid,mother,Doris,Okeanid
Orithyia,Greek nymph,mother,Doris,Okeanid
Deiopea,Greek nymph,mother,Doris,water deity
Plexaure,goddess,mother,Doris,water deity
Chione,Greek nymph,mother,Callirhoe,Okeanid
Asopus,Greek water deities,mother,Eurynome,Okeanid
